catalogue	Taxo_level	species	genus	family	order	class	phylum	superkingdom	knowledge	
msp_0888	gut	genus	unclassified Muribaculaceae CAG-485	Muribaculaceae CAG-485	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0889	gut	genus	unclassified Phascolarctobacterium	Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	unknown
msp_0890c	gut	species	Leuconostoc mesenteroides	Leuconostoc	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	known
msp_0891	gut	genus	unclassified Acutalibacteraceae 3	Acutalibacteraceae 3	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0892	gut	genus	unclassified Lachnospiraceae B EuG	Lachnospiraceae B EuG	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0893	gut	species	Faecalibacterium prausnitzii 2 [F. moorei]	Faecalibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0894	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0895	gut	species	[Acetobacter] sp. CAG:977	Alphaproteobacteria RF32 CAG-977 CAG-977	Alphaproteobacteria RF32 CAG-977	Alphaproteobacteria RF32	Alphaproteobacteria	Proteobacteria	Bacteria	unknown
msp_0896	gut	species	Methanomassiliicoccus intestinalis	Methanomassiliicoccus	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Thermoplasmatota	Archaea	known
msp_0897	gut	species	Candidatus Gastranaerophilales sp3	Gastranaerophilaceae Zag111	Gastranaerophilaceae	Gastranaerophilales	Vampirovibrionia	Cyanobacteria	Bacteria	unknown
msp_0898	gut	species	butyrate-producing bacterium SS3/4-[Clostridium] sp. CAG:81	Lachnoclostridium 2	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0899	gut	family	unclassified Oscillospirales 1 CAG-272	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0900	gut	genus	unclassified Angelakisella	Angelakisella	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
