catalogue	Taxo_level	species	genus	family	order	class	phylum	superkingdom	knowledge	
msp_0001	gut	species	Blastocystis sp. subtype 3	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0002	gut	species	Blastocystis sp. subtype 1	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0003	gut	species	Bacteroides cellulosilyticus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0004	gut	species	Blastocystis sp. subtype 2	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0005	gut & oral	species	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0006	gut	species	Blastocystis sp. subtype 4	Blastocystis	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	known
msp_0007	gut	species	Bacteroides ovatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0008	gut	species	Bacteroides intestinalis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0009	gut	species	Enterocloster bolteae	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0010	gut	species	Bacteroides fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0011	gut	species	Bacteroides thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0012	gut	species	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0013	gut	species	Ruminococcus bicirculans	Ruminococcus 2	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0014	gut	species	Eisenbergiella tayi	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0015	gut	species	Agathobacter faecis	Agathobacter	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0016	gut	species	Bacteroides plebeius	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0017	gut	species	Roseburia intestinalis	Roseburia	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0018	gut	species	Eisenbergiella massiliensis	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0019	gut	species	Bacteroides faecis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0020	gut	species	Enterocloster clostridioformis	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0021	gut	species	Bacteroides xylanisolvens	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0022	gut	species	Bacteroides finegoldii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0023	gut	species	Bacteroides caccae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0024	gut	species	Hungatella effluvii	Hungatella	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0025	gut	species	Akkermansia muciniphila	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria	known
msp_0027	gut	species	Parabacteroides merdae	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0028	gut	species	Parabacteroides goldsteinii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0029	gut	species	[Eubacterium] eligens	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0031	gut	species	Bacteroides stercoris	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0032	gut	species	Alistipes onderdonkii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0033	gut	species	Bacteroides fragilis 2	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0034	gut	species	[Faecalibacterium] sp. CAG:74	unclassified Christensenellales CAG-74	Christensenellales CAG-74	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0035	gut	species	Bacteroides dorei	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0036	gut	species	Bacteroides eggerthii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0037	gut	species	Bacteroides salyersiae	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0038	gut	family	unclassified Victivallales UBA1829	unclassified Victivallales UBA1829	Victivallales UBA1829	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0039	gut	species	Lachnospiraceae bacterium hRUG904 / Clostridiales bacterium RUG495 / [Clostridium] sp. CAG:127	Lachnospiraceae A RUG495	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0040	gut	species	Bacteroides massiliensis	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0041	gut	species	Prevotella copri	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0042	gut	species	Coprococcus eutactus 2	Coprococcus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0043	gut	species	Bacteroides coprocola	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0044	gut	species	Hungatella hathewayi	Hungatella	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0045	gut	species	[Ruminococcus] bromii 2	Acutalibacteraceae 3 CAG-581	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0046	gut	species	Bacteroides uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0047	gut	species	[Eubacterium] sp. CAG:115	Ruminococcaceae CAG-115	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0048	gut	species	[Eubacterium] sp. CAG:38	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0049	gut	genus	unclassified Enterocloster	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0050	gut	species	Anaerobutyricum hallii	Anaerobutyricum	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0051	gut	genus	unclassified Muribaculaceae sp6	Muribaculaceae sp6	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0052	gut	species	Blautia sp. CAG:257	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0053	gut	species	[Eubacterium] siraeum	Ruminiclostridium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0054	gut	species	Bacteroides nordii	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0055	gut	species	Firmicutes bacterium CAG:65 / [Clostridium] sp. 2789STDY5608883	unclassified Lachnospiraceae G	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0056	gut	genus	unclassified Enterocloster	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0057	gut	species	[Roseburia] sp. CAG:45 & sp. 2789STDY5608886	Lachnospiraceae C EuR	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0058	gut	species	[Ruminococcus] gnavus	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0059	gut	species	Barnesiella intestinihominis	Barnesiella	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0060	gut	species	Lachnospiraceae bacterium CIM:MAG 844 / Firmicutes bacterium CAG:95	Acetatifactor	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0061	gut	species	Bacteroides congonensis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0062	gut	species	Odoribacter splanchnicus	Odoribacter	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0063	gut	species	Bacteroides clarus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0064	gut	species	[Alistipes] sp. CAG:435	Rikenellaceae 2 RC9	Rikenellaceae 2	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0065	gut	species	[Ruminococcus] sp. CAG:17 / Blautia sp. 2789STDY5608880	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0066	gut	species	[Clostridium] sp. AT4	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0067	gut	species	Prevotella marseillensis	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0068	gut	species	Agathobacter rectale	Agathobacter	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0069	gut & oral	species	Bacteroides vulgatus	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0070	gut	species	Akkermansia muciniphila 2	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobiota	Bacteria	unknown
msp_0071	gut	species	Roseburia hominis	Roseburia	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0072	gut	species	Roseburia inulinivorans	Roseburia	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0073	gut	species	Victivallales bacterium CCUG 44730	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0074	gut	species	[Roseburia] sp. CAG:100 / Lachnospiraceae bacterium CIM:MAG 54	Lachnospiraceae G COE1	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0075	gut	species	Lachnospiraceae sp. 3	unclassified Lachnospiraceae G	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0076	gut	species	Blautia wexlerae	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0077	gut	genus	unclassified Lachnospiraceae B CAG-882	Lachnospiraceae B CAG-882	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0078	gut	species	Prevotella sp. CAG:732	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0079	gut	species	[Clostridium] sp. CAG:7	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0080	gut	species	Prevotellamassilia timonensis	Prevotellamassilia	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0081	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0082c	gut	species	Providencia rettgeri 2	Providencia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_0083	gut	species	Parabacteroides johnsonii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0084	gut	species	Prevotella sp. RUG457 & sp. RUG782 & sp. CAG:386	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0085	gut	genus	unclassified Eisenbergiella	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0086	gut	species	[Clostridium] symbiosum	Lachnoclostridium	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0087	gut	species	Lachnospira pectinoschiza	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0088	gut	species	Butyricimonas sp. Marseille-P3923	Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0089	gut	species	Alistipes finegoldii	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0090	gut	species	Alistipes putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0091	gut	species	Prevotella sp. CAG:604	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0092	gut	species	Sutterella wadsworthensis	Sutterella	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0093	gut	species	[Clostridium] sp. CAG:62	Lachnospiraceae B EuB	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0094	gut	genus	unclassified Roseburia	Roseburia	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0095	gut	species	[Eubacterium] sp. CAG:202	Acutalibacteraceae 3 CAG-581	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0096	gut	species	Bacteroides sp. CAG:443	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0097	gut	species	Paraprevotella xylaniphila	Paraprevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0098	gut	species	Parabacteroides gordonii	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0099	gut	species	Lentisphaeria bacterium UBA1829	unclassified Victivallales UBA1829	Victivallales UBA1829	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0100	gut	species	Morganella morganii	Morganella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0101	gut	species	Bacteroides sp. CAG:875 & sp. 2789STDY5834845	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0102	gut	genus	unclassified Bacteroides 3	Bacteroides 3	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0103	gut	species	[Clostridium] innocuum	Absiella-Longicatena	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	known
msp_0104	gut	species	Emergencia timonensis	Emergencia	Anaerovoracaceae	Peptostreptococcales	Clostridia	Firmicutes	Bacteria	known
msp_0105	gut	species	[Ruminococcus] sp. CAG:177	Acutalibacteraceae 1 CAG-177	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0106	gut	species	[Clostridiales] bacterium UBA7273 / Firmicutes bacterium CAG:240	Oscillospirales 4 F23-B02	Oscillospirales 4	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0107	gut	species	Anaerostipes hadrus	Anaerostipes	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0108	gut & oral	species	Enterobacter hormaechei	Enterobacter	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0109	gut	species	[Clostridium] scindens 2	Dorea	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0110	gut	species	Bilophila wadsworthia	Bilophila	Desulfovibrionaceae	Desulfovibrionales	Desulfovibrionia	Desulfobacterota	Bacteria	known
msp_0111	gut	species	[Faecalimonas] umbilicata	Tyzzerella	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0112	gut	species	Blautia hydrogenotrophica	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0113	gut	species	Blautia producta 2	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0114	gut	species	Bacteroides coprophilus	Bacteroides 2	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0115c	gut	species	[Lachnoclostridium] phytofermentans 2	unclassified Lachnospiraceae K	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0116	gut	family	unclassified Victivallales UBA1829	unclassified Victivallales UBA1829	Victivallales UBA1829	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0117	gut	species	Butyricimonas faecalis	Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0118	gut	genus	unclassified Bacteroides	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0119	gut	family	unclassified Massilibacillaceae	unclassified Massilibacillaceae	Massilibacillaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	unknown
msp_0120	gut	genus	unclassified Victivallis	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0121	gut	species	[Oscillibacter] sp. CAG:241_62_21	Oscillospiraceae CAG-129	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0122	gut	genus	unclassified Bacteroides CAG-462	Bacteroides CAG-462	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0123	gut	species	Prevotella sp. CAG:520	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0124	gut	species	[Candidatus Cibiobacter] qucibialis	Gemmiger	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0125	gut	species	Firmicutes bacterium CAG:24 / [Clostridium] sp. 2789STDY5834869 & 2789STDY5834922	Eisenbergiella	Lachnospiraceae G	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0126	gut	species	[Ruminococcus] torques	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0127	gut	species	Ruminococcus sp. CAG:353 & sp. 2789STDY5834938	Ruminococcus 2	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0128	gut	species	Butyricimonas virosa	Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0129	gut	species	[Clostridium] sp. CAG:58	Lachnoclostridium 2	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0130	gut	species	Candidatus Gastranaerophilales bacterium x14	Gastranaerophilaceae CAG-196	Gastranaerophilaceae	Gastranaerophilales	Vampirovibrionia	Cyanobacteria	Bacteria	unknown
msp_0131	gut	species	Phascolarctobacterium faecium	Phascolarctobacterium	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	known
msp_0132	gut	species	Coprobacillus cateniformis	Coprobacillus	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	known
msp_0133	gut	species	Coprococcus sp. 2789STDY5608819 / [Clostridium] sp. CAG:264	Coprococcus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0134	gut	species	Megamonas funiformis == rupellensis	Megamonas	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	known
msp_0135	gut	species	Enterocloster clostridioformis 2	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0136	gut	species	Prevotella sp. P4-51 & PA-67 & P5-64 & P5-108 & CAG:474	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0137	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0138	gut	species	Bifidobacterium pseudocatenulatum	Bifidobacterium	Bifidobacteriaceae	Actinomycetales	Actinobacteria	Actinobacteriota	Bacteria	known
msp_0139	gut	species	Coprobacter fastidiosus	Coprobacter	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0140	gut	species	Klebsiella oxytoca	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0141	gut	species	Blautia massiliensis	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0142	gut	species	[Blautia] sp. CAG:52 & SG-772 & sp. 2789STDY5834917	Fusicatenibacter	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0143	gut	species	Parabacteroides sp. CAG:409	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0144	gut	species	[Clostridium] sp. CAG:138	unclassified Christensenellales CAG-138	Christensenellales CAG-138	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0145	gut	species	Parasutterella excrementihominis	Parasutterella	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0146c	gut & oral	species	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	known
msp_0147	gut	genus	unclassified Acutalibacteraceae 1 UBA1691	Acutalibacteraceae 1 UBA1691	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0148c	gut & oral	species	Veillonella infantium	Veillonella	Veillonellaceae	Veillonellales	Negativicutes	Firmicutes	Bacteria	known
msp_0149	gut	genus	unclassified Bacteroides	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0150c	gut	species	[Clostridium] methylpentosum	Massilioclostridium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0151	gut	species	Butyricimonas faecihominis	Butyricimonas	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0152	gut	species	Mediterraneibacter faecis	Mediterraneibacter	Lachnospiraceae J	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0153	gut	species	Erysipelatoclostridium ramosum	Erysipelatoclostridium	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	known
msp_0154	gut	species	Fusicatenibacter saccharivorans	Fusicatenibacter	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0155	gut	species	Parabacteroides acidifaciens	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	known
msp_0156	gut	genus	unclassified Parabacteroides	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0157	gut	species	Klebsiella aerogenes	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0158	gut	species	[Eubacterium] sp. CAG:252	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0159	gut	species	Victivallis vadensis	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	known
msp_0160	gut	species	[Faecalitalea] sp. UBA637	Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	unknown
msp_0161	gut	species	[Eubacterium] sp. CAG:248	Lachnospira	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0162	gut	genus	unclassified Blautia A	Blautia A	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0163	gut	species	Firmicutes bacterium CAG:227	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0164	gut	species	[Ruminococcus] sp. 2789STDY5608794 & sp. 2789STDY5834890 / Firmicutes bacterium CAG:56	Lachnospiraceae K CAG-56	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0165	gut	genus	unclassified Fusicatenibacter	Fusicatenibacter	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0168	gut	species	Firmicutes bacterium CAG:194	unclassified Lachnospiraceae	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0169	gut	species	[Roseburia] sp. CAG:197	Agathobacter	Lachnospiraceae C	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0170	gut	species	Azospirillum sp. CAG:239	Alphaproteobacteria RF32 CAG-239 CAG-495	Alphaproteobacteria RF32 CAG-239	Alphaproteobacteria RF32	Alphaproteobacteria	Proteobacteria	Bacteria	unknown
msp_0171	gut	species	Blautia hansenii	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0172	gut	species	Ruthenibacterium lactatiformans	Ruthenibacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	known
msp_0173	gut	species	[Christensenellaceae] bacterium Phil1 & [Clostridium] sp. CAG:226	unclassified Christensenellales CAG-138	Christensenellales CAG-138	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0174	gut	species	Klebsiella quasipneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	known
msp_0175	gut	species	Lachnospiraceae bacterium TF01-11 / [Clostridium] sp. CAG:122	Lachnospiraceae B TF01-11	Lachnospiraceae B	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0176	gut	species	Prevotella sp. P4-65 & P4-76 & P5-60 & P5-119 & P5-125 & CAG:592	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0177	gut	genus	unclassified Enterocloster	Enterocloster	Lachnospiraceae I	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0178	gut	species	Ruminococcus sp. A254.MGS-254 & CAG:254	Ruminococcus	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_0179	gut	species	Coprococcus eutactus	Coprococcus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0180	gut	species	Blautia coccoides == Blautia producta	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0181	gut	genus	unclassified Marvinbryantia	Marvinbryantia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0182	gut	species	Firmicutes bacterium CAG:424	Blautia	Lachnospiraceae K	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
