,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
461,63,msp_0489,gut,genus,unclassified Blautia A,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1578,63,msp_0030,gut & oral,species,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
1174,62,msp_1339,gut,species,Gordonibacter urolithinfaciens,Gordonibacter,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,known
43,62,msp_0047,gut,species,[Eubacterium] sp. CAG:115,Ruminococcaceae CAG-115,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
674,62,msp_0723,gut,genus,unclassified Oscillospirales 5 CAG-170,Oscillospirales 5 CAG-170,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
256,61,msp_0270,gut,species,Firmicutes bacterium CAG:137,Oscillospirales 5 CAG-110,Oscillospirales 5,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
390,61,msp_0412,gut,species,[Bacteroides] sp. CAG:144,unclassified Barnesiellaceae,Barnesiellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
609,60,msp_0648,gut,species,Holdemanella biformis,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
25,60,msp_0028,gut,species,Parabacteroides goldsteinii,Parabacteroides,Tannerellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
55,59,msp_0060,gut,species,Lachnospiraceae bacterium CIM:MAG 844 / Firmicutes bacterium CAG:95,Acetatifactor,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
702,59,msp_0756,gut,genus,unclassified Blautia A,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
297,59,msp_0315,gut,species,Firmicutes bacterium CAG:145,Anaerovoracaceae CAG-145,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
219,59,msp_0232,gut,species,Dorea sp. CAG:317,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
482,58,msp_0510,gut,species,Mediterraneibacter glycyrrhizinilyticus,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
551,57,msp_0584,gut,species,Eggerthella sp. CAG:298,Eggerthella,Eggerthellaceae,Coriobacteriales,Coriobacteriia,Actinobacteriota,Bacteria,unknown
97,57,msp_0103,gut,species,[Clostridium] innocuum,Absiella-Longicatena,Erysipelotrichaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,known
1307,57,msp_1543,gut & oral,species,Streptococcus oralis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
179,57,msp_0189,gut,species,Blautia sp. CAG:237,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
126,56,msp_0133,gut,species,Coprococcus sp. 2789STDY5608819 / [Clostridium] sp. CAG:264,Coprococcus,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
683,56,msp_0735,gut,species,Monoglobus pectinilyticus,Monoglobus,Monoglobaceae,Monoglobales,Clostridia,Firmicutes,Bacteria,known
1141,56,msp_1293,gut,species,[Clostridiales] bacterium UBA643,Mogibacterium,Anaerovoracaceae,Peptostreptococcales,Clostridia,Firmicutes,Bacteria,unknown
521,55,msp_0554,gut,species,Anaerostipes hadrus 2,Anaerostipes,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
58,55,msp_0063,gut,species,Bacteroides clarus,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
923,55,msp_1013,gut,genus,unclassified Acutalibacter,Acutalibacter,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
518,55,msp_0551,gut,species,[Eubacterium] sp. CAG:192,Lachnospiraceae B EuG,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
163,55,msp_0173,gut,species,[Christensenellaceae] bacterium Phil1 & [Clostridium] sp. CAG:226,unclassified Christensenellales CAG-138,Christensenellales CAG-138,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
211,55,msp_0224,gut,species,Prevotella copri 2,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,unknown
1186,54,msp_1356,gut,species,Anaeromassilibacillus sp. An250,Anaeromassilibacillus,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
939,54,msp_1033,gut,species,[Clostridium] sp. CAG:273,unclassified Clostridiales 2b,Clostridiales 2b,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
359,54,msp_0381,gut,species,Alistipes senegalensis,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
65,53,msp_0070,gut,species,Akkermansia muciniphila 2,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobiota,Bacteria,unknown
584,53,msp_0623,gut,species,Erysipelatoclostridium sp2,Erysipelatoclostridium,Erysipelatoclostridiaceae,Erysipelotrichales,Bacilli,Firmicutes,Bacteria,unknown
154,53,msp_0162,gut,genus,unclassified Blautia A,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
229,53,msp_0242,gut,species,Anaerotignum lactatifermentans,Anaerotignum,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
543,53,msp_0576,gut,genus,unclassified Lachnospiraceae C EuR,Lachnospiraceae C EuR,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
299,52,msp_0317,gut,genus,unclassified Oscillospirales 4 UBA5446,Oscillospirales 4 UBA5446,Oscillospirales 4,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
240,52,msp_0254,gut,genus,unclassified Hungatella,Hungatella,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1218,51,msp_1403,gut,species,Blautia sp. 2789STDY5834862,Blautia A,Lachnospiraceae K,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
839,51,msp_0908,gut,family,unclassified Christensenellales QAND01,unclassified Christensenellales QAND01,Christensenellales QAND01,Christensenellales,Clostridia,Firmicutes,Bacteria,unknown
545,51,msp_0578,gut,species,[Clostridium] sp. CAG:269,unclassified Clostridiales 2a,Clostridiales 2a,Clostridiales 2,Clostridia,Firmicutes,Bacteria,unknown
1595,51,msp_1234,gut & oral,species,Parvimonas micra,Parvimonas,Helcococcaceae-Ezakiellaceae,Tissierellales,Clostridia,Firmicutes,Bacteria,known
